name,nominations,wins
Two Girls and a Sailor,1,0
Wing and a Prayer,1,0
"To Margaret O'Brien, outstanding child actress of 1944.",1,1
To Bob Hope for his many services to the Academy.,1,1
Gene Kelly,1,0
Ray Milland,1,1
Gregory Peck,6,2
Cornel Wilde,1,0
Michael Chekhov,1,0
John Dall,1,0
James Dunn,1,1
Robert Mitchum,1,0
Joan Crawford,3,1
Gene Tierney,1,0
Eve Arden,1,0
Ann Blyth,1,0
Joan Lorring,1,0
Blood on the Sun,1,1
Experiment Perilous,1,0
The Keys of the Kingdom,3,0
Love Letters,3,0
The Picture of Dorian Gray,2,1
Frenchman's Creek,1,1
Leave Her to Heaven,3,1
National Velvet,4,1
San Antonio,2,0
A Thousand and One Nights,2,0
The Lost Weekend,6,3
Mildred Pierce,3,0
Spellbound,6,1
Anchors Aweigh,4,1
A Song to Remember,5,0
The Spanish Main,1,0
The Bells of St. Mary's,6,1
The Southerner,3,0
The Last Bomb,1,0
The True Glory,1,1
Hitler Lives?,1,1
Library of Congress,1,0
To the Shores of Iwo Jima,1,0
"Objective, Burma!",3,0
Brewster's Millions,1,0
Captain Kidd,1,0
The Enchanted Cottage,1,0
Flame of Barbary Coast,2,0
G. I. Honeymoon,1,0
G. I. Joe,3,0
Guest in the House,1,0
Guest Wife,1,0
The Man Who Walked Alone,1,0
Paris--Underground,1,0
This Love of Ours,1,0
The Valley of Decision,1,0
The Woman in the Window,1,0
Belle of the Yukon,2,0
Can't Help Singing,2,0
Hitchhike to Happiness,1,0
Incendiary Blonde,1,0
Rhapsody in Blue,2,0
Sunbonnet Sue,1,0
The Three Caballeros,2,0
Tonight and Every Night,2,0
Why Girls Leave Home,2,0
Wonder Man,4,1
Here Come the Waves,1,0
Earl Carroll Vanities,1,0
Sing Your Way Home,1,0
Donald's Crime,1,0
Jasper and the Beanstalk,1,0
Life with Feathers,1,0
Mighty Mouse in Gypsy Life,1,0
The Poet and Peasant,1,0
Quiet Please!,1,1
Rippling Romance,1,0
Along the Rainbow Trail,1,0
Screen Snapshots' 25th Anniversary,1,0
Stairway to Light,1,1
Story of a Dog,1,0
White Rhapsody,1,0
Your National Gallery,1,0
A Gun in His Hand,1,0
The Jury Goes Round 'N' Round,1,0
The Little Witch,1,0
Star in the Night,1,1
Lady on a Train,1,0
They Were Expendable,2,0
Three Is a Family,1,0
The Unseen,1,0
Captain Eddie,1,0
The Affairs of Susan,1,0
The House on 92nd Street,1,1
A Medal for Benny,1,0
Dillinger,1,0
Marie-Louise,1,1
Music for Millions,1,0
Salty O'Rourke,1,0
"What Next, Corporal Hargrove?",1,0
Pride of the Marines,1,0
A Tree Grows in Brooklyn,1,0
"To Peggy Ann Garner, outstanding child actress of 1945.",1,1
Larry Parks,1,0
William Demarest,1,0
Harold Russell,1,1
Celia Johnson,1,0
Jane Wyman,4,1
Anne Baxter,2,1
Lillian Gish,1,0
Flora Robson,1,0
Anna and the King of Siam,4,2
Kitty,1,0
The Razor's Edge,2,0
Caesar and Cleopatra,1,0
Henry V,5,1
The Yearling,5,2
The Green Years,1,0
The Jolson Story,4,2
The Best Years of Our Lives,6,5
Brief Encounter,2,0
It's a Wonderful Life,4,0
The Killers,4,0
Atomic Power,1,0
Life at the Zoo,1,0
Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947),1,0
Seeds of Destiny,1,1
Traffic with the Devil,1,0
Humoresque,1,0
Blue Skies,2,0
Centennial Summer,2,0
The Harvey Girls,2,1
Night and Day,1,0
The Dolly Sisters,1,0
Canyon Passage,1,0
The Cat Concerto,1,1
Chopin's Musical Moments,1,0
John Henry and the Inky Poo,1,0
Squatter's Rights,1,0
Walky Talky Hawky,1,0
Dive-Hi Champs,1,0
Facing Your Danger,1,1
Golden Horses,1,0
Smart as a Fox,1,0
Sure Cures,1,0
A Boy and His Dog,1,1
College Queen,1,0
Hiss and Yell,1,0
The Luckiest Guy in the World,1,0
Blithe Spirit,1,1
A Stolen Life,1,0
The Dark Mirror,1,0
The Strange Love of Martha Ivers,1,0
The Stranger,1,0
To Each His Own,1,0
Vacation from Marriage,1,1
The Blue Dahlia,1,0
Children of Paradise,1,0
Notorious,1,0
Road to Utopia,1,0
The Seventh Veil,1,1
Open City,1,0
"To Claude Jarman, Jr., outstanding child actor of 1946.",1,1
Michael Redgrave,1,0
Thomas Gomez,1,0
Edmund Gwenn,2,1
Robert Ryan,1,0
Richard Widmark,1,0
Susan Hayward,5,1
Dorothy McGuire,1,0
Loretta Young,2,1
Gloria Grahame,2,1
Celeste Holm,3,1
Marjorie Main,1,0
The Foxes of Harrow,1,0
Great Expectations,5,2
Black Narcissus,2,2
Life with Father,3,0
The Ghost and Mrs. Muir,1,0
Green Dolphin Street,4,1
Mother Wore Tights,3,1
The Bishop's Wife,5,1
Crossfire,3,0
A Double Life,3,1
Gentleman's Agreement,4,2
Design for Death,1,1
Journey into Medicine,1,0
The World Is Rich,1,0
First Steps,1,1
Passport to Nowhere,1,0
School in the Mailbox,1,0
Body and Soul,2,1
Odd Man Out,1,0
Captain from Castile,1,0
Forever Amber,1,0
Fiesta,1,0
My Wild Irish Rose,1,0
Road to Rio,1,0
Song of the South,2,1
"The Time, the Place and the Girl",1,0
The Perils of Pauline,1,0
Good News,1,0
Miracle on 34th Street,3,2
Chip An' Dale,1,0
Dr. Jekyll and Mr. Mouse,1,0
Pluto's Blue Note,1,0
Tubby the Tuba,1,0
Tweetie Pie,1,1
"Brooklyn, U.S.A.",1,0
Good-bye Miss Turlock,1,1
Moon Rockets,1,0
Now You See It,1,0
So You Want to Be in Pictures,1,0
Champagne for Two,1,0
Climbing the Matterhorn,1,1
Fight of the Wild Stallions,1,0
Give Us the Earth,1,0
A Voice Is Born: The Story of Niklos Gafni,1,0
T-Men,1,0
Unconquered,1,0
A Cage of Nightingales,1,0
It Happened on Fifth Avenue,1,0
Kiss of Death,1,0
Smash-Up--The Story of a Woman,1,0
The Bachelor and the Bobby-Soxer,1,1
Monsieur Verdoux,1,0
Shoe-Shine,1,0
Boomerang!,1,0
Lew Ayres,1,0
Montgomery Clift,4,0
Dan Dailey,1,0
José Ferrer,3,1
Oscar Homolka,1,0
Cecil Kellaway,2,0
Barbara Bel Geddes,1,0
Ellen Corby,1,0
Jean Simmons,2,0
Hamlet,11,3
Johnny Belinda,8,0
Joan of Arc,5,2
The Red Shoes,5,2
A Foreign Affair,2,0
I Remember Mama,1,0
The Naked City,3,2
Portrait of Jennie,2,1
Green Grass of Wyoming,1,0
The Loves of Carmen,1,0
The Three Musketeers,1,0
B. F.'s Daughter,1,0
The Emperor Waltz,2,0
The Search,3,1
The Snake Pit,5,1
The Treasure of the Sierra Madre,3,2
The Quiet One,2,0
The Secret Land,1,1
Heart to Heart,1,0
Operation Vittles,1,0
Toward Independence,1,1
Red River,2,0
Easter Parade,1,1
The Pirate,1,0
Romance on the High Seas,2,0
When My Baby Smiles at Me,1,0
The Paleface,1,1
Casbah,1,0
That Lady in Ermine,1,0
Wet Blanket Policy,1,0
The Little Orphan,1,1
Mickey and the Seal,1,0
Mouse Wreckers,1,0
Robin Hoodlum,1,0
Tea for Two Hundred,1,0
Annie Was a Wonder,1,0
Cinderella Horse,1,0
So You Want to Be on the Radio,1,0
Symphony of a City,1,1
You Can't Win,1,0
Calgary Stampede,1,0
Going to Blazes,1,0
Samba-Mania,1,0
Seal Island,1,1
Snow Capers,1,0
Moonrise,1,0
Deep Waters,1,0
Louisiana Story,1,0
Jerry Wald,1,1
Broderick Crawford,1,1
Kirk Douglas,3,0
Richard Todd,1,0
John Wayne,2,1
John Ireland,1,0
Dean Jagger,1,1
Arthur Kennedy,5,0
Ralph Richardson,2,0
James Whitmore,2,0
Jeanne Crain,1,0
Deborah Kerr,6,0
Elsa Lanchester,2,0
Mercedes McCambridge,2,1
Ethel Waters,1,0
Come to the Stable,4,0
The Heiress,6,3
Madame Bovary,2,0
The Adventures of Don Juan,2,1
Saraband,1,0
Battleground,5,2
Champion,4,1
Prince of Foxes,2,0
The Barkleys of Broadway,1,0
Jolson Sings Again,3,0
Sand,1,0
She Wore a Yellow Ribbon,1,1
Mother Is a Freshman,1,0
All the King's Men,4,1
The Fallen Idol,2,0
A Letter to Three Wives,3,2
Daybreak in Udi,1,1
Kenji Comes Home,1,0
A Chance to Live,1,1
1848,1,0
The Rising Tide,1,0
So Much for So Little,1,1
Sands of Iwo Jima,3,0
The Window,1,0
Beyond the Forest,1,0
Look for the Silver Lining,1,0
On the Town,1,1
Neptune's Daughter,1,1
It's a Great Feeling,1,0
So Dear to My Heart,1,0
My Foolish Heart,1,0
Twelve O'Clock High,2,1
Canary Row,1,0
For Scent-Imental Reasons,1,1
Hatch Up Your Troubles,1,0
The Magic Fluke,1,0
Toy Tinkers,1,0
Aquatic House-Party,1,1
Roller Derby Girl,1,0
So You Think You're Not Guilty,1,0
Spills and Chills,1,0
Water Trix,1,0
The Boy and the Eagle,1,0
Chase of Death,1,0
The Grass Is Always Greener,1,0
Snow Carnival,1,0
Van Gogh,1,1
"Once More, My Darling",1,0
Mighty Joe Young,2,1
Tulsa,1,0
It Happens Every Spring,1,0
The Stratton Story,1,1
White Heat,1,0
The Bicycle Thief,1,0
Paisan,1,0
Passport to Pimlico,1,0
"To Bobby Driscoll, as the outstanding juvenile actor of 1949.",1,1
"To Jean Hersholt, for distinguished service to the motion picture industry.",1,1
To ANDRE COUTANT and JACQUES MATHOT for the design of the Eclair camerette.,1,1
Louis Calhern,1,0
William Holden,3,1
Jeff Chandler,1,0
Sam Jaffe,1,0
George Sanders,1,1
Erich von Stroheim,1,0
Judy Holliday,1,1
Eleanor Parker,3,0
Hope Emerson,1,0
Josephine Hull,1,1
Nancy Olson,1,0
Thelma Ritter,6,0
All about Eve,9,5
The Red Danube,1,0
Sunset Blvd.,7,3
Annie Get Your Gun,4,1
Destination Moon,2,1
Samson and Delilah,5,2
The Asphalt Jungle,3,0
The Furies,1,0
The Third Man,3,1
Broken Arrow,2,0
The Flame and the Arrow,2,0
King Solomon's Mines,3,2
Born Yesterday,4,0
The Magnificent Yankee,1,0
The Black Rose,1,0
That Forsyte Woman,1,0
The Titan: Story of Michelangelo,1,1
With These Hands,1,0
The Fight: Science against Cancer,1,0
The Stairs,1,0
Why Korea?,1,1
No Sad Songs for Me,1,0
Cinderella,4,0
I'll Get By,1,0
Three Little Words,1,0
The West Point Story,1,0
The Toast of New Orleans,1,0
"Captain Carey, U.S.A.",1,1
Singing Guns,1,0
Wabash Avenue,1,0
Father of the Bride,2,0
Gerald McBoing-Boing,1,1
Jerry's Cousin,1,0
Trouble Indemnity,1,0
Blaze Busters,1,0
Grandad of Races,1,1
Wrong Way Butch,1,0
Grandma Moses,1,0
In Beaver Valley,1,1
My Country 'Tis of Thee,1,0
Louisa,1,0
Our Very Own,1,0
Trio,1,0
Bitter Rice,1,0
The Gunfighter,1,0
Mystery Street,1,0
Panic in the Streets,1,1
When Willie Comes Marching Home,1,0
Adam's Rib,1,0
Caged,1,0
The Men,1,0
No Way Out,1,0
To Louis B. Mayer for distinguished service to the motion picture industry.,1,1
Marlon Brando,8,2
Leo Genn,1,0
Kevin McCarthy,1,0
Karl Malden,2,1
Peter Ustinov,3,2
Gig Young,3,1
Shelley Winters,4,2
Joan Blondell,1,0
Mildred Dunnock,2,0
Lee Grant,4,1
Kim Hunter,1,1
Fourteen Hours,1,0
House on Telegraph Hill,1,0
La Ronde,2,0
A Streetcar Named Desire,8,1
Too Young to Kiss,1,0
An American in Paris,8,6
David and Bathsheba,5,0
On the Riviera,2,0
Quo Vadis,6,0
Tales of Hoffmann,2,0
Death of a Salesman,2,0
The Frogmen,2,0
A Place in the Sun,8,6
Strangers on a Train,1,0
Show Boat,2,0
When Worlds Collide,2,1
Kind Lady,1,0
The Model and the Marriage Broker,1,0
The Mudlark,1,0
The Great Caruso,3,1
The African Queen,2,0
Detective Story,2,0
I Was a Communist for the F.B.I.,1,0
Kon-Tiki,2,1
Benjy,1,1
One Who Came Back,1,0
The Seeing Eye,1,0
Decision before Dawn,2,0
The Well,2,0
Alice in Wonderland,4,2
Here Comes the Groom,2,1
The Strip,1,0
Golden Girl,1,0
Royal Wedding,1,0
"Rich, Young and Pretty",1,0
"Lambert, the Sheepish Lion",1,0
Rooty Toot Toot,1,0
The Two Mouseketeers,1,1
Ridin' the Rails,1,0
The Story of Time,1,0
World of Kids,1,1
Balzac,1,0
Danger under the Sea,1,0
Nature's Half Acre,1,1
Bright Victory,1,0
I Want You,1,0
Two Tickets to Broadway,1,0
Bullfighter and the Lady,1,0
Seven Days to Noon,1,1
Teresa,1,0
The Big Carnival,1,0
Go for Broke!,1,0
Arthur Freed,1,1
Alec Guinness,4,1
Richard Burton,7,0
Arthur Hunnicutt,1,0
Jack Palance,3,1
Anthony Quinn,4,2
Shirley Booth,1,1
Julie Harris,1,0
Jean Hagen,1,0
Colette Marchand,1,0
Terry Moore,1,0
The Bad and the Beautiful,4,4
Carrie,2,0
My Cousin Rachel,3,0
Rashomon,1,0
Viva Zapata!,3,0
Hans Christian Andersen,6,0
Moulin Rouge,12,4
The Quiet Man,6,2
The Snows of Kilimanjaro,2,0
The Big Sky,1,0
Navajo,2,0
Sudden Fear,2,0
Ivanhoe,3,0
Million Dollar Mermaid,1,0
Affair in Trinidad,1,0
The Greatest Show on Earth,5,2
With a Song in My Heart,3,1
Five Fingers,2,0
High Noon,6,3
The Hoaxters,1,0
The Sea around Us,1,1
Devil Take Us,2,0
The Garden Spider (Epeira Diadema),1,0
Man Alive!,1,0
Neighbours,2,1
"Come Back, Little Sheba",1,0
Flat Top,1,0
Miracle of Fatima,1,0
The Thief,2,0
The Jazz Singer,1,0
The Medium,1,0
Singin' in the Rain,1,0
Son of Paleface,1,0
Because You're Mine,1,0
Just for You,1,0
Johann Mouse,1,1
Little Johnny Jet,1,0
Madeline,1,0
Pink and Blue Blues,1,0
Romance of Transportation,1,0
Athletes of the Saddle,1,0
Desert Killer,1,0
Light in the Window: The Art of Vermeer,1,1
Royal Scotland,1,0
Bridge of Time,1,0
Thar She Blows!,1,0
Water Birds,1,1
Breaking the Sound Barrier,2,1
The Promoter,1,0
Plymouth Adventure,1,1
My Son John,1,0
The Narrow Margin,1,0
The Pride of St. Louis,1,0
The Sniper,1,0
The Man in the White Suit,1,0
The Atomic City,1,0
The Lavender Hill Mob,1,1
Pat and Mike,1,0
"To Harold Lloyd, master comedian and good citizen.",1,1
Cecil B. DeMille,1,1
To PHOTO RESEARCH CORPORATION for creating the Spectra color temperature meter.,1,1
To GUSTAV JIROUCH for the design of the Robot automatic film splicer.,1,1
Burt Lancaster,4,1
Eddie Albert,2,0
Brandon De Wilde,1,0
Frank Sinatra,3,2
Robert Strauss,1,0
Leslie Caron,2,0
Ava Gardner,1,0
Audrey Hepburn,6,2
Maggie McNamara,1,0
Grace Kelly,2,1
Geraldine Page,8,1
Donna Reed,1,1
Julius Caesar,4,1
Martin Luther,2,0
The President's Lady,2,0
Roman Holiday,8,2
Titanic,14,12
Knights of the Round Table,2,0
Lili,5,1
The Robe,4,2
The Story of Three Loves,1,0
Young Bess,2,0
The Four Poster,1,0
From Here to Eternity,8,6
All the Brothers Were Valiant,1,0
Beneath the 12-Mile Reef,1,0
Shane,4,1
The Actress,1,0
Dream Wife,1,0
The Band Wagon,3,0
Call Me Madam,2,1
How to Marry a Millionaire,1,0
Stalag 17,1,0
The Conquest of Everest,1,0
The Living Desert,1,1
A Queen Is Crowned,1,0
The Alaskan Eskimo,1,1
The Living City,1,0
Operation Blue Jay,1,0
They Planted a Stone,1,0
The Word,1,0
Crazylegs,1,0
The Moon Is Blue,2,0
The War of the Worlds,3,1
Above and Beyond,2,0
This Is Cinerama,1,0
Calamity Jane,3,1
"The 5,000 Fingers of Dr. T",1,0
Kiss Me Kate,1,0
Small Town Girl,1,0
Miss Sadie Thompson,1,0
The Caddy,1,0
Christopher Crumpet,1,0
From A to Z-Z-Z-Z,1,0
Rugged Bear,1,0
The Tell Tale Heart,1,0
"Toot, Whistle, Plunk and Boom",1,1
Christ among the Primitives,1,0
Herring Hunt,1,0
Joy of Living,1,0
The Merry Wives of Windsor Overture,1,1
Wee Water Wonders,1,0
Bear Country,1,1
Ben and Me,1,0
Return to Glennascaul,1,0
Vesuvius Express,1,0
Winter Paradise,1,0
The Mississippi Gambler,1,0
The Captain's Paradise,1,0
Hondo,1,0
Little Fugitive,1,0
The Cruel Sea,1,0
The Desert Rats,1,0
The Naked Spur,1,0
Take the High Ground,1,0
George Stevens,1,1
James Mason,3,0
Dan O'Herlihy,1,0
Lee J. Cobb,2,0
Edmond O'Brien,2,1
Rod Steiger,3,1
Tom Tully,1,0
Dorothy Dandridge,1,0
Judy Garland,2,0
Nina Foch,1,0
Katy Jurado,1,0
Eva Marie Saint,1,1
Jan Sterling,1,0
The Country Girl,5,1
Executive Suite,3,0
Le Plaisir,1,0
On the Waterfront,7,6
Sabrina,7,1
Brigadoon,3,0
Desiree,2,0
Red Garters,1,0
"20,000 Leagues under the Sea",3,2
Rogue Cop,1,0
The Egyptian,1,0
Rear Window,4,0
Seven Brides for Seven Brothers,5,1
The Silver Chalice,2,0
Three Coins in the Fountain,3,2
The Earrings of Madame de...,1,0
Indiscretion of an American Wife,1,0
It Should Happen to You,1,0
Gate of Hell,1,1
There's No Business Like Show Business,3,0
The High and the Mighty,4,1
The Stratford Adventure,1,0
The Vanishing Prairie,1,1
Jet Carrier,2,0
Rembrandt: A Self-Portrait,1,0
Thursday's Children,1,1
The Caine Mutiny,5,0
Genevieve,2,0
Carmen Jones,1,0
The Glenn Miller Story,3,1
White Christmas,1,0
Susan Slept Here,2,0
Crazy Mixed Up Pup,1,0
Pigs Is Pigs,1,0
Sandy Claws,1,0
"Touché, Pussy Cat",1,0
When Magoo Flew,1,1
The First Piano Quartette,1,0
The Strauss Fantasy,1,0
This Mechanical Age,1,1
Beauty and the Bull,1,0
Siam,1,0
A Time Out of War,1,1
Hell and High Water,1,0
Them!,1,0
"Bread, Love and Dreams",1,0
Broken Lance,1,1
Forbidden Games,1,0
Night People,1,0
The Barefoot Contessa,1,0
Knock on Wood,1,0
To Greta Garbo for her unforgettable screen performances.,1,1
Ernest Borgnine,1,1
James Dean,2,0
Jack Lemmon,8,2
Joe Mantell,1,0
Sal Mineo,2,0
Arthur O'Connell,2,0
Anna Magnani,2,1
Betsy Blair,1,0
Peggy Lee,1,0
Marisa Pavan,1,0
Jo Van Fleet,1,1
Natalie Wood,3,0
Blackboard Jungle,4,0
I'll Cry Tomorrow,3,1
The Man with the Golden Arm,2,0
Marty,5,3
The Rose Tattoo,6,2
Daddy Long Legs,3,0
Guys and Dolls,4,0
Love Is a Many-Splendored Thing,7,3
Picnic,5,2
To Catch a Thief,3,1
Queen Bee,2,0
A Man Called Peter,1,0
Oklahoma!,4,2
The Pickwick Papers,1,0
Ugetsu,1,0
Interrupted Melody,2,1
The Virgin Queen,1,0
Bad Day at Black Rock,2,0
East of Eden,2,0
Summertime,1,0
Heartbreak Ridge,2,0
Helen Keller in Her Story,1,1
The Battle of Gettysburg,2,0
The Face of Lincoln,2,1
Men against the Arctic,1,1
The Bridges at Toko-Ri,2,1
Battle Cry,1,0
It's Always Fair Weather,2,0
Love Me or Leave Me,5,1
The Tender Trap,1,0
Unchained,1,0
Mister Roberts,2,0
Good Will to Men,1,0
The Legend of Rock-a-bye Point,1,0
No Hunting,1,0
Speedy Gonzales,1,1
Gadgets Galore,1,0
Survival City,1,1
3rd Ave. El,1,0
Three Kisses,1,0
On the Twelfth Day...,1,0
Switzerland,1,0
24-Hour Alert,1,0
Not as a Stranger,1,0
The Dam Busters,1,0
The Rains of Ranchipur,1,0
The Private War of Major Benson,1,0
Rebel without a Cause,1,0
The Sheep Has Five Legs,1,0
Strategic Air Command,1,0
The Court-Martial of Billy Mitchell,1,0
Mr. Hulot's Holiday,1,0
The Seven Little Foys,1,0
To the EASTMAN KODAK CO. for Eastman Tri-X Panchromatic Negative Film.,1,1
Yul Brynner,1,1
Rock Hudson,1,0
Sir Laurence Olivier,1,0
Don Murray,1,0
Anthony Perkins,1,0
Robert Stack,1,0
Carroll Baker,1,0
Nancy Kelly,1,0
Eileen Heckart,2,1
Patty McCormack,1,0
Dorothy Malone,1,1
The Magnificent Seven,3,0
The Proud and Profane,2,0
The Solid Gold Cadillac,2,1
Somebody Up There Likes Me,3,2
Teenage Rebel,2,0
Around the World in 80 Days,8,5
Giant,7,1
The King and I,7,4
Lust for Life,2,0
The Ten Commandments,7,1
Baby Doll,2,0
The Bad Seed,1,0
The Harder They Fall,1,0
Stagecoach to Fury,1,0
The Eddy Duchin Story,4,0
War and Peace,5,1
The Power and the Prize,1,0
Friendly Persuasion,5,0
The Naked Eye,1,0
The Silent World,1,1
Where Mountains Float,1,0
A City Decides,1,0
The Dark Wave,2,0
The House without a Name,1,0
Man in Space,1,0
The True Story of the Civil War,1,1
The Brave One,3,1
The Captain of Kopenick,1,0
Gervaise,1,0
Harp of Burma,1,0
La Strada,2,1
Qivitoq,1,0
Anastasia,3,0
Between Heaven and Hell,1,0
The Rainmaker,1,0
The Best Things in Life Are Free,1,0
High Society,3,0
Meet Me in Las Vegas,1,0
Julie,2,0
The Man Who Knew Too Much,1,1
Written on the Wind,1,0
Gerald McBoing-Boing on Planet Moo,1,0
The Jaywalker,1,0
Mister Magoo's Puddle Jumper,1,1
Crashing the Water Barrier,1,1
I Never Forget a Face,1,0
Time Stood Still,1,0
The Bespoke Overcoat,1,1
Cow Dog,1,0
Samoa,1,0
Forbidden Planet,1,0
The Proud and the Beautiful,1,0
Umberto D.,1,0
The Bold and the Brave,1,0
The Ladykillers,1,0
The Red Balloon,1,1
Y. Frank Freeman,1,1
To Eddie Cantor for distinguished service to the film industry.,1,1
Buddy Adler,1,1
Anthony Franciosa,1,0
Red Buttons,1,1
Vittorio De Sica,1,0
Sessue Hayakawa,1,0
Russ Tamblyn,1,0
Elizabeth Taylor,6,3
Lana Turner,1,0
Joanne Woodward,4,1
Carolyn Jones,1,0
Hope Lange,1,0
Miyoshi Umeki,1,1
Diane Varsi,1,0
Funny Face,4,0
Les Girls,3,1
Pal Joey,4,0
Raintree County,3,0
Sayonara,7,2
An Affair to Remember,4,0
The Bridge on the River Kwai,6,6
Peyton Place,4,0
12 Angry Men,3,0
Witness for the Prosecution,4,0
Albert Schweitzer,1,1
On the Bowery,1,0
Torero!,1,0
Gunfight at the O.K. Corral,2,0
The Devil Came at Night,1,0
Gates of Paris,1,0
Mother India,1,0
The Nights of Cabiria,1,1
Nine Lives,1,0
Boy on a Dolphin,1,0
Perri,1,0
The Joker Is Wild,1,1
April Love,1,0
Tammy and the Bachelor,1,0
Wild Is the Wind,1,0
Birds Anonymous,1,1
One Droopy Knight,1,0
Tabasco Road,1,0
Trees and Jamaica Daddy,1,0
The Truth about Mother Goose,1,0
A Chairy Tale,1,0
City of Gold,1,0
Foothold on Antarctica,1,0
Portugal,1,0
The Wetback Hound,1,1
The Enemy Below,1,1
The Spirit of St. Louis,1,0
"Heaven Knows, Mr. Allison",1,0
Designing Woman,1,1
Man of a Thousand Faces,1,0
The Tin Star,1,0
Vitelloni,1,0
To Charles Brackett for outstanding service to the Academy.,1,1
To B.B. Kahane for distinguished service to the motion picture industry.,1,1
Tony Curtis,1,0
Paul Newman,10,2
David Niven,1,1
Sidney Poitier,2,1
Theodore Bikel,1,0
Burl Ives,1,1
Shirley MacLaine,5,1
Peggy Cass,1,0
Martha Hyer,1,0
Maureen Stapleton,4,1
Cara Williams,1,0
Auntie Mame,4,0
"Bell, Book and Candle",2,0
A Certain Smile,3,0
Gigi,9,9
Vertigo,2,0
The Defiant Ones,5,2
Desire under the Elms,1,0
I Want to Live!,5,0
Separate Tables,4,0
The Young Lions,3,0
Cat on a Hot Tin Roof,4,0
The Old Man and the Sea,3,2
South Pacific,3,1
Some Came Running,2,0
The Inn of the Sixth Happiness,1,0
Antarctic Crossing,1,0
The Hidden World,1,0
Psychiatric Nursing,1,0
White Wilderness,2,1
Ama Girls,1,1
Employees Only,1,0
Journey into Spring,2,0
The Living Stone,1,0
Overture,1,0
Cowboy,2,0
Arms and the Man,1,0
La Venganza,1,0
My Uncle,1,1
The Road a Year Long,1,0
The Usual Unidentified Thieves,1,0
The Big Country,1,0
The Bolshoi Ballet,1,0
Damn Yankees,1,0
Houseboat,2,0
Marjorie Morningstar,1,0
Knighty Knight Bugs,1,1
Paul Bunyan,1,0
Sidney's Family Tree,1,0
Grand Canyon,2,1
The Kiss,1,0
Snows of Aorangi,1,0
T Is for Tumbleweed,1,0
A Time to Love and a Time to Die,1,0
tom thumb,1,1
Torpedo Run,1,0
The Horse's Mouth,1,0
The Goddess,1,0
The Sheepman,1,0
Teacher's Pet,1,0
Jack L. Warner,1,1
Laurence Harvey,1,0
Charlton Heston,2,2
Hugh Griffith,2,1
George C. Scott,4,1
Robert Vaughn,1,0
Ed Wynn,1,0
Doris Day,1,0
Simone Signoret,2,1
Hermione Baddeley,1,0
Susan Kohner,1,0
Juanita Moore,1,0
Career,3,0
The Diary of Anne Frank,6,2
The Last Angry Man,1,0
Some Like It Hot,5,1
"Suddenly, Last Summer",1,0
Ben-Hur,10,9
The Big Fisherman,3,0
Journey to the Center of the Earth,3,0
North by Northwest,3,0
Pillow Talk,3,1
Anatomy of a Murder,4,0
The Young Philadelphians,2,0
The Five Pennies,4,0
The Nun's Story,7,0
Porgy and Bess,4,1
The Gazebo,1,0
The Best of Everything,2,0
Room at the Top,3,1
The Race for Space,1,0
Serengeti Shall Not Die,1,1
Donald in Mathmagic Land,1,0
From Generation to Generation,1,0
Glass,1,1
On the Beach,2,0
Black Orpheus,1,1
The Bridge,1,0
The Great War,1,0
Paw,1,0
The Village on the River,1,0
Li'l Abner,1,0
Say One for Me,1,0
Sleeping Beauty,1,0
The Hanging Tree,1,0
A Hole in the Head,1,1
The Young Land,1,0
Mexicali Shmoes,1,0
Moonbird,1,1
Noah's Ark,1,0
The Violinist,1,0
Between the Tides,1,0
The Golden Fish,1,1
Mysteries of the Deep,1,0
"The Running, Jumping and Standing-Still Film",1,0
Skyscraper,1,0
Libel!,1,0
The 400 Blows,1,0
Operation Petticoat,1,0
Wild Strawberries,1,0
Bob Hope,1,1
Trevor Howard,1,0
Peter Falk,2,0
Jack Kruschen,1,0
Chill Wills,1,0
Melina Mercouri,1,0
Glynis Johns,1,0
Shirley Jones,1,1
Shirley Knight,2,0
Janet Leigh,1,0
Mary Ure,1,0
The Apartment,7,5
The Facts of Life,5,1
Psycho,3,0
Sons and Lovers,5,1
Visit to a Small Planet,1,0
It Started in Naples,1,0
Pepe,7,0
Spartacus,5,3
Sunrise at Campobello,3,0
Inherit the Wind,3,0
The Alamo,6,1
Butterfield 8,1,0
Exodus,2,1
Never on Sunday,4,1
The Rise and Fall of Legs Diamond,1,0
Seven Thieves,1,0
The Virgin Spring,2,1
Can-Can,2,0
Midnight Lace,1,0
The Sundowners,3,0
The Horse with the Flying Tail,1,1
Rebel in Paradise,1,0
Beyond Silence,2,0
A City Called Copenhagen,1,0
George Grosz' Interregnum,1,0
Giuseppina,1,1
Universe,2,0
Kapo,1,0
La Vérité,1,0
Macario,1,0
The Ninth Circle,1,0
Elmer Gantry,3,1
Bells Are Ringing,1,0
Let's Make Love,1,0
Song without End (The Story of Franz Liszt),1,1
High Time,1,0
Goliath II,1,0
High Note,1,0
Mouse and Garden,1,0
Munro,1,1
The Creation of Woman,1,0
Day of the Painter,1,1
Islands of the Sea,1,0
A Sport Is Born,1,0
The Last Voyage,1,0
The Time Machine,2,1
Tunes of Glory,1,0
The Angry Silence,1,0
"Hiroshima, Mon Amour",1,0
Sol Lesser,1,1
