,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
35,Won 1 Oscar. Another 31 wins & 58 nominations.,USA,15 Aug 2000,Steven Soderbergh,English,73,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,7.3/10,Internet Movie Database,17 Mar 2000,True,131 min,Erin Brockovich,movie,http://www.erinbrockovich.com/globalnav/gnf.pl?url=http://www.erinbrockovich.com,2000,tt0195685,7.3,"149,052"
38,Won 4 Oscars. Another 69 wins & 83 nominations.,"USA, Germany",29 May 2001,Steven Soderbergh,"English, Spanish",86,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDA2YjNkMjEtZjcwNy00ZTc5LWEzNDItMjE0ODlmMDAzNDFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,USA Films,R,7.6/10,Internet Movie Database,05 Jan 2001,True,147 min,Traffic,movie,http://www.trafficthemovie.com,2000,tt0181865,7.6,"179,915"
41,Won 1 Oscar. Another 52 wins & 103 nominations.,USA,13 Mar 2001,Cameron Crowe,"English, French",90,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY1ZjMwMGEtYTY1ZS00ZDllLTk0ZmUtYzA3ZTA4NmYwNGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,DreamWorks SKG,R,7.9/10,Internet Movie Database,22 Sep 2000,True,122 min,Almost Famous,movie,http://www.almost-famous.com,2000,tt0181875,7.9,"223,650"
53,Won 1 Oscar. Another 19 wins & 46 nominations.,"USA, Germany, UK, Japan",13 Mar 2001,Curtis Hanson,English,73,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",https://images-na.ssl-images-amazon.com/images/M/MV5BZGFlZDI5OGMtMmVhMS00NTQxLTgzZmEtZDJlMGVjNWViZThmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Paramount Pictures,R,7.4/10,Internet Movie Database,25 Feb 2000,True,107 min,Wonder Boys,movie,http://www.wonderboysmovie.com,2000,tt0185014,7.4,"57,065"
59,1 nomination.,USA,01 Jun 2004,Steve Carr,English,41,Uncle Elroy and Day Day owe money on taxes so Craig finds a way to steal from the next door neighbors to pay off the taxes so Uncle Elroy's house doesn't get put up for auction.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTg4NTkzMDEtM2MzOS00MDE1LWJmYWItYzdiMGRiNTdmZmFkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,New Line Home Entertainment,R,6.1/10,Internet Movie Database,12 Jan 2000,True,98 min,Next Friday,movie,http://www.nextfridaymovie.com,2000,tt0195945,6.1,"30,984"
62,N/A,"USA, Switzerland",15 Aug 2001,Walter Hill,English,19,"Supernova chronicles the search and rescue patrol of a medical ship in deep space in the early 22nd century and its six-member crew which includes a Captain and Pilot, a co-pilot, a medical...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMjI4OTU4MF5BMl5BanBnXkFtZTcwOTk3MTE3NA@@._V1_SX300.jpg,MGM/UA,PG-13,4.8/10,Internet Movie Database,14 Jan 2000,True,90 min,Supernova,movie,http://www.mgm.com/supernova,2000,tt0134983,4.8,"15,616"
65,7 wins & 4 nominations.,USA,11 Jul 2000,Jay Russell,"English, German",61,"A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NDgxMjg5MV5BMl5BanBnXkFtZTYwNTUxODc5._V1_SX300.jpg,Warner Bros. Pictures,PG,7.0/10,Internet Movie Database,03 Mar 2000,True,95 min,My Dog Skip,movie,http://www.mydogskip.com,2000,tt0156812,7.0,"17,451"
68,1 win & 3 nominations.,USA,11 Jul 2000,Kris Isacsson,"English, French",13,A young man wins and loses the first serious love of his life. Al Connelly falls in love with the girl of his dreams. After the summer she breaks up with him. As he tries to recover Al goes to desperate measures.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NDIxMTIwMF5BMl5BanBnXkFtZTcwNTQ3MTIyMQ@@._V1_SX300.jpg,Miramax,PG-13,4.9/10,Internet Movie Database,21 Jan 2000,True,91 min,Down to You,movie,http://www.miramax.com/mm_front/owa/mp.entryPoint?action=0&midStr=1332,2000,tt0186975,4.9,"12,974"
71,2 nominations.,"USA, UK, Germany, Japan, Canada",18 Jul 2000,Andrew Bergman,English,34,"An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann, the famed writer of ""Valley of the Dolls"" and other trashy novels. ...",https://images-na.ssl-images-amazon.com/images/M/MV5BYmYyYmY5MWYtMjA0Yi00ZjgzLWE5ZjItNjdhOGRjMTc0MzY0XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Universal Studios Home Video,R,5.4/10,Internet Movie Database,28 Jan 2000,True,95 min,Isn't She Great,movie,http://www.universalpictures.com/isntshegreat,2000,tt0141399,5.4,"2,082"
74,N/A,USA,30 Oct 2001,Eric Blakeney,English,42,An undercover DEA agent brings down the Mafia.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MDYzMjI0Nl5BMl5BanBnXkFtZTcwODU3MjMyMQ@@._V1_SX300.jpg,Hollywood Pictures,R,5.7/10,Internet Movie Database,04 Feb 2000,True,101 min,Gun Shy,movie,N/A,2000,tt0171356,5.7,"6,264"
77,5 wins & 5 nominations.,USA,04 Jul 2000,Wes Craven,English,56,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, a new Ghostface begins to terrorize them once again.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTQ0NGI1MjQtODA1OS00NGFlLWEzN2QtZjk5MjViYTA0YmM5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dimension Films,R,5.5/10,Internet Movie Database,04 Feb 2000,True,116 min,Scream 3,movie,http://www.scream3.com,2000,tt0134084,5.5,"107,073"
80,4 nominations.,USA,03 Oct 2000,Chris Koch,English,34,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTE3M2Y4YjQtNDQzMS00NWYzLTkyODUtNGFkZmY0MTk4NjE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,PG,5.0/10,Internet Movie Database,11 Feb 2000,True,89 min,Snow Day,movie,http://snowdaymovie.nick.com,2000,tt0184907,5.0,"10,140"
83,7 nominations.,"USA, UK",09 Jan 2001,Danny Boyle,"English, French, Swedish, Thai, Serbian",43,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTljZTUzYWUtOTI4YS00NmZlLWE5MmQtZjFlZDZhNjg4MjQxXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,20th Century Fox,R,6.6/10,Internet Movie Database,11 Feb 2000,True,119 min,The Beach,movie,http://www.thebeachmovie.com,2000,tt0163978,6.6,"195,454"
86,4 nominations.,"USA, Japan",22 Aug 2000,Jun Falkenstein,English,53,Tigger goes looking through the hundred-acre-wood to find his family.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NDIyODU4M15BMl5BanBnXkFtZTYwODA5MzY2._V1_SX300.jpg,Buena Vista,G,6.3/10,Internet Movie Database,11 Feb 2000,True,77 min,The Tigger Movie,movie,http://disney.go.com/DisneyPictures/tigger/index.html,2000,tt0220099,6.3,"14,516"
89,1 win & 9 nominations.,USA,11 Jul 2000,Ben Younger,"English, Russian",63,"A college dropout, attempting to win back his father's high standards he gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it once appeared to be.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2I1N2NhODEtYTc5My00ZWExLTljZTMtNTAxYWE0MTYwOWVkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,New Line Home Entertainment,R,7.0/10,Internet Movie Database,18 Feb 2000,True,120 min,Boiler Room,movie,http://www.boilerroommovie.com,2000,tt0181984,7.0,"44,584"
92,2 wins & 1 nomination.,"Germany, USA",27 Jun 2000,Diane Keaton,English,33,"A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzJjYjgwZjMtYThhZi00NzNlLWI0Y2YtZjkxYWNlYWI2ZDJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG-13,4.8/10,Internet Movie Database,18 Feb 2000,True,94 min,Hanging Up,movie,http://www.spe.sony.com/movies/hangingup/index.html,2000,tt0162983,4.8,"10,784"
95,2 wins & 4 nominations.,USA,24 Oct 2000,David Twohy,"English, Arabic",49,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Gramercy Pictures/ USA Films,R,7.1/10,Internet Movie Database,18 Feb 2000,True,109 min,Pitch Black,movie,http://www.pitch-black.com/blackbox/index.html,2000,tt0134847,7.1,"206,064"
98,5 nominations.,USA,18 Jul 2000,Jonathan Lynn,"English, French, Spanish",47,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",https://ia.media-imdb.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_SX300.jpg,Warner Home Video,R,6.7/10,Internet Movie Database,18 Feb 2000,True,98 min,The Whole Nine Yards,movie,http://nineyards.warnerbros.com,2000,tt0190138,6.7,"97,712"
104,3 nominations.,USA,08 Aug 2000,John Frankenheimer,English,37,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjNmNWIwZTAtMjM1MS00ODNiLTljYzMtNGI1ZmRkMmIxYzJiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dimension Films,R,5.7/10,Internet Movie Database,25 Feb 2000,True,104 min,Reindeer Games,movie,http://www.dimensionfilms.com/mm_front/owa/dim_movie_page.entryPoint?midStr=1333,2000,tt0184858,5.7,"33,689"
107,N/A,USA,19 Jun 2001,DJ Pooh,English,11,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzOTU5NTIxMl5BMl5BanBnXkFtZTYwODM1Mzk5._V1_SX300.jpg,MGM Home Entertainment,R,4.1/10,Internet Movie Database,01 Mar 2000,True,82 min,3 Strikes,movie,http://www.mgm.com/3strikes/index.html,2000,tt0199290,4.1,"1,557"
110,1 nomination.,USA,25 Jul 2000,Nick Gomez,English,25,"When a woman drives a car into the river to her death, everyone in town becomes a suspect.",https://images-na.ssl-images-amazon.com/images/M/MV5BYWNhYWUxMzAtNmJmYS00Yjg5LWIyYWUtY2IxMDRjZmZhOTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG-13,5.6/10,Internet Movie Database,03 Mar 2000,True,96 min,Drowning Mona,movie,http://www.drowningmona.com,2000,tt0186045,5.6,"12,263"
113,3 wins & 10 nominations.,USA,02 May 2005,John Schlesinger,"English, French",25,"Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2VhNzI1ZTYtZGEyYy00Y2QzLTliYzYtMGM0ZTc1OGUzYTRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Paramount Home Video,PG-13,4.7/10,Internet Movie Database,03 Mar 2000,True,108 min,The Next Best Thing,movie,http://www.nextbestthingmovie.com,2000,tt0156841,4.7,"9,852"
116,1 nomination.,USA,18 Jul 2000,Mike Nichols,English,41,"A highly advanced civilization, whose citizens feel no emotion and reproduce by cloning, plans to conquer Earth from the inside by sending an operative, fashioned with a humming, mechanical...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4ODgzNDU2OF5BMl5BanBnXkFtZTYwMjI1Njc2._V1_SX300.jpg,Columbia Pictures,R,5.6/10,Internet Movie Database,03 Mar 2000,True,105 min,What Planet Are You From?,movie,http://www.spe.sony.com/movies/whatplanet,2000,tt0181151,5.6,"8,406"
119,1 nomination.,USA,28 Dec 2004,Brian De Palma,English,34,"When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzhiNjVhZjUtMWYwMy00M2U5LWE5NWEtNGU4N2E5NTI3MzFlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,PG,5.6/10,Internet Movie Database,10 Mar 2000,True,114 min,Mission to Mars,movie,N/A,2000,tt0183523,5.6,"64,369"
124,3 wins & 3 nominations.,USA,26 Sep 2000,James Wong,"English, French",36,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTI0NGM2OGYtNzVmMi00NGQ2LTk2MDAtN2RmYjIzMGRkZGYxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,New Line Cinema,R,6.7/10,Internet Movie Database,17 Mar 2000,True,98 min,Final Destination,movie,http://www.deathiscoming.com,2000,tt0195714,6.7,"197,443"
127,1 win & 7 nominations.,USA,01 Aug 2000,Andrzej Bartkowiak,"English, Chinese",52,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5Nzg1MjA5M15BMl5BanBnXkFtZTYwNzAxNzg2._V1_SX300.jpg,Warner Home Video,R,6.1/10,Internet Movie Database,22 Mar 2000,True,115 min,Romeo Must Die,movie,http://www.romeomustdie.net,2000,tt0165929,6.1,"60,563"
130,2 nominations.,USA,09 Jan 2001,Mark Piznarski,English,25,A rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTc3MDk4NTk2Nl5BMl5BanBnXkFtZTcwMzc4NDE1MQ@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,5.1/10,Internet Movie Database,24 Mar 2000,True,96 min,Here on Earth,movie,http://www.hereonearthmovie.com,2000,tt0195778,5.1,"7,725"
133,3 nominations.,USA,30 Oct 2001,David Raynr,English,20,A modern-day remake of the Cyrano DeBergerac tale.,https://images-na.ssl-images-amazon.com/images/M/MV5BY2RhZWQyOTMtZjU1OC00YmYxLTg3MjUtNTU1ZDcyOTQ4ZDEwXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Columbia Pictures,PG-13,5.5/10,Internet Movie Database,24 Mar 2000,True,94 min,Whatever It Takes,movie,http://www.spe.sony.com/movies/whateverittakes/index.html,2000,tt0202402,5.5,"8,537"
136,Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.,"UK, USA",19 Sep 2000,Stephen Frears,"English, Danish",79,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMTI1ODYyOV5BMl5BanBnXkFtZTYwNjQyOTI3._V1_SX300.jpg,Buena Vista,R,7.5/10,Internet Movie Database,31 Mar 2000,True,113 min,High Fidelity,movie,N/A,2000,tt0146882,7.5,"152,464"
139,1 win & 2 nominations.,USA,21 Nov 2000,Carlos Ávila,English,32,"An ex-boxer, living with the knowledge that his fight career was cut short by a crooked manager, channels his bitter disappointment in a single-minded quest for boxing championships for his...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTMxMjYyMF5BMl5BanBnXkFtZTcwMDU0OTAyMQ@@._V1_SX300.jpg,New Line Home Entertainment,PG-13,6.4/10,Internet Movie Database,31 Mar 2000,True,118 min,Price of Glory,movie,http://www.priceofglory.com,2000,tt0188160,6.4,743
142,1 win & 12 nominations.,USA,12 Dec 2000,"Bibo Bergeron, Don Paul, Jeffrey Katzenberg",English,51,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTEzNWIwMzctOTE1YS00YjIyLTgwZGEtMTMxZDAzNzlmODMxXkEyXkFqcGdeQXVyMjgyMDk1MzY@._V1_SX300.jpg,Dreamworks,PG,6.9/10,Internet Movie Database,31 Mar 2000,True,89 min,The Road to El Dorado,movie,http://www.roadtoeldorado.com,2000,tt0138749,6.9,"68,042"
145,1 nomination.,"USA, Canada",24 Oct 2000,Rob Cohen,English,24,"Luke McNamara, a college senior from a working class background joins a secret elitist college fraternity organization called ""The Skulls"", in hope of gaining acceptance into Harvard Law ...",https://images-na.ssl-images-amazon.com/images/M/MV5BODA2OTQ0NzctZTYwNi00N2E2LWJhN2UtOTc4N2UzYWRiOWVjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Studios Home Video,PG-13,5.6/10,Internet Movie Database,31 Mar 2000,True,106 min,The Skulls,movie,http://www.universalpictures.com/skulls,2000,tt0192614,5.6,"28,466"
148,N/A,"Czech Republic, UK",N/A,Mira Erdevicki,Czech,N/A,N/A,N/A,N/A,N/A,4.9/10,Internet Movie Database,25 Mar 2000,True,58 min,Black and White in Colour,movie,N/A,2000,tt0204193,4.9,57
149,1 nomination.,USA,02 Oct 2001,Brian Robbins,English,23,Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMjYyOTA4OV5BMl5BanBnXkFtZTYwMDAyNjE3._V1_SX300.jpg,Warner Bros. Pictures,PG-13,5.3/10,Internet Movie Database,07 Apr 2000,True,107 min,Ready to Rumble,movie,http://www.readytorumble.net,2000,tt0217756,5.3,"12,395"
152,1 win & 2 nominations.,USA,31 Oct 2000,Bonnie Hunt,"English, Italian",54,A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwNDEzODU3Nl5BMl5BanBnXkFtZTcwMjI0NzU2NA@@._V1_SX300.jpg,MGM Distribution,PG,6.9/10,Internet Movie Database,07 Apr 2000,True,115 min,Return to Me,movie,http://www.mgm.com/rtm,2000,tt0122459,6.9,"17,477"
155,1 win & 2 nominations.,"UK, Germany, Canada, USA",10 Oct 2000,William Friedkin,"English, Arabic",45,An attorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a third world country.,https://images-na.ssl-images-amazon.com/images/M/MV5BZjZmNWI1MTgtZjVjNi00M2FjLWI4YjUtNzkwNmYyMzM4NjMwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount Pictures,R,6.4/10,Internet Movie Database,07 Apr 2000,True,128 min,Rules of Engagement,movie,http://www.rulesmovie.com,2000,tt0160797,6.4,"39,958"
158,1 win.,USA,05 Jul 2005,Betty Thomas,English,46,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDlkMmE5ZTEtNTA0YS00OTBjLTgyYmEtMGExMzJkOTRjNDg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,PG-13,6.0/10,Internet Movie Database,14 Apr 2000,True,103 min,28 Days,movie,http://www.sony.com/28days,2000,tt0191754,6.0,"37,708"
161,5 wins & 8 nominations.,USA,05 Sep 2000,Mary Harron,"English, Spanish, Cantonese",64,"A wealthy New York investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMTYwMTI0N15BMl5BanBnXkFtZTgwNTU2NTYxMTE@._V1_SX300.jpg,Lions Gate Films,R,7.6/10,Internet Movie Database,14 Apr 2000,True,102 min,American Psycho,movie,http://www.americanpsycho.com,2000,tt0144084,7.6,"400,208"
