name,nominations,wins
Zbigniew Cybulski,1,0
Jean Desailly,1,0
Ella Lambetti,1,0
Rosalind Russell,1,0
Hayley Mills,3,1
Gerry Duggan,1,0
Liz Fraser,1,0
Joseph N Welch,1,0
The Savage Eye,1,1
This Is The BBC,2,1
We Are The Lambeth Boys,1,0
White Wilderness,1,0
Seven Cities of Antarctica,1,1
Rodin,1,0
Coupe Des Alpes: The Story Of The 1958 Alpine Rally,1,0
Hazard,1,0
"High Speed Flight Parts I, II And III",1,0
Tribute To Fangio,1,0
On The Beach,2,1
Universe,1,1
The Interview,1,0
Piccolo,1,0
Richard Attenborough,13,6
Albert Finney,9,2
John Fraser,1,0
Rachel Roberts,3,3
Saturday Night And Sunday Morning,6,3
The Angry Silence,5,1
The Trials Of Oscar Wilde,5,1
Tunes Of Glory,5,0
The Day They Robbed The Bank Of England,1,0
The Entertainer,3,0
Hell Is A City,2,0
The League Of Gentlemen,1,0
The Millionairess,1,0
A Touch Of Larceny,1,0
The Apartment,3,3
The Adventure (L'Avventura),2,0
The Sweet Life (La Dolce Vita),1,0
Elmer Gantry,3,0
"Hiroshima, My Love (Hiroshima, Mon Amour)",3,1
Inherit The Wind,3,0
Let's Make Love,2,0
Never On A Sunday,2,0
Black Orpheus (Orfeu Negro),1,0
The Four Hundred Blows (Les Quatre Cents Coups),2,0
Shadows,4,0
Spartacus,1,0
"The Testament Of Orpheus (Le Testament D'Orphée, ou ne me demandez pas pourquoi!)",1,0
George Hamilton,2,0
Burt Lancaster,4,2
Yves Montand,2,0
Pier Angeli,1,0
Melina Mercouri,2,0
Emmanuelle Riva,1,0
Monica Vitti,1,0
Lelia Goldoni,2,0
Jean-Pierre Léaud,1,0
George Peppard,1,0
Joan Plowright,2,0
Anthony Ray,1,0
Billie Whitelaw,4,1
Category not awarded this year,19,19
High Journey,1,1
Return To Life,2,0
Seawards The Great Ships,1,0
Dispute,1,1
Heroic Days,1,0
Outline Of Detergency,1,0
Night And Fog (Nuit Et Brouillard),1,0
Unseen Enemies,1,0
One Hundred And One Dalmatians,1,1
Do It Yourself Cartoon Kit,1,0
For Better...For Worse,1,0
Dirk Bogarde,6,3
Dora Bryan,1,1
A Taste Of Honey,6,4
The Innocents,2,0
The Long And The Short And The Tall,2,0
The Sundowners,3,0
Whistle Down The Wind,4,0
The Day The Earth Caught Fire,1,1
Flame In The Streets,1,0
The Guns Of Navarone,1,0
Victim,2,0
Ballad Of A Soldier (Ballada O Soldate),2,1
The Hustler,3,2
Judgment At Nuremberg,3,0
Rocco And His Brothers (Rocco E I Suoi Fratelli),2,0
The Night Watch (Le Trou),2,0
World Of Apu (Apur Sansar),1,0
Montgomery Clift,1,0
Vladimir Ivashov,1,0
Phillipe Leroy,1,0
Maximilian Schell,1,0
Alberto Sordi,1,0
Sophia Loren,1,1
Annie Girardot,1,0
Piper Laurie,1,0
Claudia McNeil,1,0
Jean Seberg,1,0
Rita Tushingham,3,1
Anthony Hancock,1,0
Murray Melvin,1,0
Volcano (Les Rendez-vous Du Diable),1,1
Terminus,1,1
Eyes Of A Child,1,0
Let My People Go,2,1
Mr Marsh Comes To School,1,0
O For Oxygen,1,0
The Best Of Enemies,2,0
Take A Giant Step,1,0
The Apple,1,1
Four Line Conics,2,1
The Travelling Tune,1,0
Peter O'Toole,3,1
Alan Bates,3,0
James Mason,2,0
Virginia Maskell,2,0
Janet Munro,1,0
Lawrence Of Arabia,5,4
Billy Budd,5,0
A Kind Of Loving,4,0
The L-Shaped Room,3,1
Only Two Can Play,4,0
Tiara Tahiti,1,0
Waltz Of The Toreadors,1,0
The Island,1,0
Jules Et Jim,2,0
The Lady With The Little Dog,1,0
Last Year At Marienbad,1,0
The Long Absence (Une Aussi Longue Absence),1,0
Lola,1,0
The Manchurian Candidate,1,0
The Miracle Worker,2,1
Phaedra,2,0
Thou Shalt Not Kill (Tu Ne Tueras Point),2,0
Through A Glass Darkly (Såsom I En Spegel),2,0
The Vanishing Corporal (Le Caporal Épinglé),1,0
West Side Story,1,0
Jean-Paul Belmondo,2,0
Franco Citti,1,0
Kirk Douglas,1,0
Anthony Quinn,2,0
Robert Ryan,1,0
George Wilson,1,0
Anne Bancroft,7,3
Anouk Aimée,2,1
Harriet Andersson,1,0
Jeanne Moreau,3,2
Geraldine Page,2,1
Natalie Wood,1,0
Tom Courtenay,4,1
Mariette Hartley,1,0
Ian Hendry,2,0
Sarah Miles,4,0
Terence Stamp,2,0
Incident At Owl Creek (La Rivière Du Hibou),1,1
Lonely Boy,1,0
Pan,1,0
Zoo,1,0
What's The Time?,1,0
Food Or Famine,1,0
Automania 2000,1,1
The Critic,1,1
Hugh Griffith,1,0
Richard Harris,1,0
Julie Christie,5,1
Edith Evans,3,1
Barbara Windsor,1,0
The Servant,8,3
Billy Liar,6,0
Heaven's Above!,1,0
"Station Six, Sahara",1,0
The Victors,1,0
From Russia With Love,1,1
Nine Hours To Rama,1,0
The Running Man,1,0
Sammy Going South,1,0
The Scarlet Blade,1,0
Tamahine,1,0
The VIPs,1,0
Tom Jones,6,3
This Sporting Life,5,1
David And Lisa,4,0
Days Of Wine And Roses,3,0
"Divorce, Italian Style (Divorzio All'Italiana)",3,1
8½,1,0
The Four Days Of Naples (Le Quattro Giornate Di Napoli),1,0
Hud,3,1
Knife In The Water (Nóz W Wodzie),1,0
To Kill A Mockingbird,2,0
Marcello Mastroianni,2,2
Howard Da Silva,1,0
Patricia Neal,2,2
Joan Crawford,1,0
Bette Davis,1,0
Lee Remick,1,0
Daniela Rocca,1,0
James Fox,2,1
Wendy Craig,1,0
Keir Dullea,1,0
Janet Margolin,1,0
Happy Anniversary,1,1
Sailing,1,0
Snow,1,0
The War Game,3,2
Inheritance,1,1
War Hunt,1,0
The Insects,1,1
Dr Strangelove,6,4
Guns At Batasi,2,0
King And Country,4,0
The Pumpkin Eater,7,4
Becket,7,3
The Chalk Garden,4,0
Goldfinger,1,0
Zulu,1,0
Séance On A Wet Afternoon,3,0
Nothing But The Best,1,0
Seventh Dawn,1,0
The Yellow Rolls Royce,2,0
Of Human Bondage,1,0
Psyche 59,1,0
The Long Ships,1,0
Woman Of Straw,1,0
The Train,1,0
Cary Grant,1,0
Sterling Hayden,1,0
Kim Stanley,1,0
Julie Andrews,3,2
Elizabeth Ashley,1,0
The Beatles,1,0
Lynn Redgrave,2,0
Nobody Waved Goodbye,1,1
The Human Dutch,1,0
The Life Of Billy Walker,1,0
Portrait Of Queenie,1,0
Kenojuak,1,1
Mekong,1,0
Muloorina,1,0
23 Skidoo,2,0
Driving Technique - Passenger Trains,1,1
And Gladly Would He Learn,1,0
The Circarc Gear,1,0
Germany - A Regional Geography,1,0
A Distant Trumpet,1,0
Lilies Of The Field,2,0
Be Careful Boys,1,1
The Bargain,1,0
"Birds, Bees And Storks",1,0
The Hoffnung Symphony Orchestra,1,0
Harry Andrews,1,0
Michael Caine,5,1
Rex Harrison,1,0
Darling,6,4
The Bedford Incident,1,0
The Hill,6,1
Rotten To The Core,1,0
The Ipcress File,5,3
Lord Jim,2,0
Those Magnificent Men In Their Flying Machines,3,1
Thunderball,1,0
The Knack,6,0
Repulsion,1,0
Help!,2,0
The Amorous Adventures Of Moll Flanders,1,0
A Shot In The Dark,1,0
Young Cassidy,2,0
My Fair Lady,2,1
Hamlet (Gamlet),2,0
Zorba The Greek,4,0
Lee Marvin,1,1
Innokenti Smoktunovsky,1,0
Oskar Werner,2,0
Jane Fonda,7,2
Lila Kedrova,1,0
Judi Dench,7,4
Michael Crawford,1,0
Barbara Ferris,1,0
Tom Nardini,1,0
Tokyo Olympiad,2,2
Brute Force And Finesse,1,0
Deckie Learner,1,0
Stravinsky,1,0
Rig Move,1,1
One Of Them Is Brett,1,0
60 Cycles,1,0
I Do - And I Understand,1,1
"Town Nurse, Country Nurse",1,0
Fail Safe,1,0
King Rat,1,0
The Spy Who Came In From The Cold,5,3
Bunny Lake Is Missing,2,0
Cul-De-Sac,1,0
Georgy Girl,4,0
David Warner,1,0
Vanessa Redgrave,2,0
Life At The Top,1,0
The Blue Max,4,1
Khartoum,1,0
The Quiller Memorandum,3,0
The Wrong Box,2,1
Arabesque,3,1
Alfie,6,1
Modesty Blaise,1,0
Morgan - A Suitable Case For Treatment,6,2
It Happened Here,1,0
Who's Afraid Of Virginia Woolf?,2,2
Dr Zhivago,1,0
Rod Steiger,2,2
Brigitte Bardot,1,0
Joan Hackett,1,0
Vivien Merchant,2,1
Alan Arkin,1,0
Frank Finlay,2,0
Jeremy Kemp,1,0
Goal! The World Cup,1,1
Buster Keaton Rides Again,1,0
I'm Going To Ask You To Get Up Out Of Your Seat,1,0
Matador,1,0
A River Must Live,1,0
Sudden Summer,1,0
The Tortoise And The Hare,1,0
Exploring Chemistry,1,1
The Radio Sky,1,0
Visual Aids,1,0
The Pawnbroker,2,1
"The Russians Are Coming, The Russians Are Coming",2,0
Vietnam - People And War,1,0
Notes On A Triangle,1,1
Tidy Why,1,0
Toys,1,0
Barbara Jefford,1,0
A Man For All Seasons,7,7
Accident,3,0
Blow-Up,3,0
You Only Live Twice,1,0
The Whisperers,2,2
Mademoiselle,2,1
The Sailor From Gibraltar,2,0
Ulysses,3,0
The Deadly Affair,5,0
Far From The Madding Crowd,2,0
Casino Royale,1,0
Half A Sixpence,1,0
Two For The Road,1,0
Bonnie And Clyde,3,0
In The Heat Of The Night,4,2
A Man And A Woman (Un Homme Et Une Femme),1,0
Warren Beatty,2,0
Orson Welles,1,0
Bibi Andersson,1,0
Faye Dunaway,3,1
Peter Kastner,1,0
Milo O'Shea,1,0
Michael J Pollard,1,0
To Die In Madrid,1,1
Famine,1,0
The Things I Cannot Change,1,0
Indus Waters,1,1
Mafia No!,1,0
Opus,1,0
Rail,1,0
Energy And Matter,1,1
How The Motor Car Works,1,0
Paint,1,0
Revolutions For All,1,0
The Gospel According To St Matthew,1,0
Ron Moody,1,0
Nicol Williamson,2,0
Catherine Deneuve,1,0
Dance For Two (Pas De Deux),1,1
The Hand,1,0
The House That Jack Built,1,0
The Question,1,0
The Lion In Winter,7,1
The Charge Of The Light Brigade,7,0
Live For Life (Vivre Pour Vivre),1,0
2001: A Space Odyssey,5,3
Oliver!,8,0
Elvira Madigan,2,0
The Graduate,7,5
If...,2,0
Closely Observed Trains,2,0
Dustin Hoffman,8,3
Pia Degermark,1,0
Katharine Ross,2,1
Jack Wild,1,0
In Need Of Special Care,2,1
Inside North Vietnam,1,0
Music!,1,0
A Plague On Your Children,1,0
Guess Who's Coming To Dinner?,3,2
The Threat In The Water,1,1
Carbon,1,0
Genetics And Plant Breeding,1,0
The Kurer Anchor System,1,0
Ian Holm,4,2
Anthony Hopkins,6,2
John McEnery,1,0
George Segal,1,0
Pat Heywood,1,0
Walter Matthau,3,1
Mia Farrow,3,0
Glenda Jackson,3,1
Barbra Streisand,2,0
Z,5,1
Secret Ceremony,1,0
The Thomas Crown Affair,1,0
Women In Love,9,0
Oh! What A Lovely War,10,6
Hello Dolly!,1,0
Bullitt,5,0
Funny Girl/Hello Dolly!,2,0
Women In Love/The  Magus,1,0
Funny Girl,1,0
Isadora,1,0
Midnight Cowboy,6,5
Jon Voight,1,1
Kim Darby,1,0
Jennie Linden,1,0
Ali McGraw,1,0
Prologue,2,1
"Goodbye, Columbus",3,0
Picture To Post,1,1
Barbican,1,0
Birthday,1,0
Test Of Violence,1,0
Battle Of Britain,1,0
Isadora/Women In Love,1,0
Let There Be Light,1,1
The Behaviour Game,1,0
Isotopes In Action,1,0
Mullardability,1,0
Jack Klugman,1,0
Jack Nicholson,5,3
Robert Vaughn,1,0
Pamela Franklin,1,0
Mary Wimbush,1,0
Ådalen '31,1,0
Robert Redford,1,1
Elliott Gould,1,0
George C Scott,2,0
Goldie Hawn,1,0
Henry Nine 'Til Five,1,1
Children And Cars,1,0
Espolio,1,0
It's Tough To Be A Bird,1,0
Butch Cassidy And The Sundance Kid,8,7
Alice's Restaurant,1,0
Figures In A Landscape,1,0
The Railway Children,3,0
Waterloo,3,2
Anne Of The Thousand Days,2,0
Ryan's Daughter,10,0
Scrooge,1,0
